time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
2.425357560545322e-007	-7.999960e+000	1.667904e+001	-4.796414e-001
2.464411369456951e-007	-7.999959e+000	1.648427e+001	-4.853088e-001
2.542518987280210e-007	-7.999959e+000	1.611308e+001	-4.964884e-001
2.549841576451141e-007	-7.999958e+000	1.607940e+001	-4.975285e-001
2.707106216356286e-007	-7.999956e+000	1.539844e+001	-5.195304e-001
2.806999847973492e-007	-7.999954e+000	1.500469e+001	-5.331635e-001
2.885107465796751e-007	-7.999953e+000	1.471680e+001	-5.435932e-001
3.041322701443269e-007	-7.999950e+000	1.419130e+001	-5.637220e-001
3.356941432733934e-007	-7.999945e+000	1.326962e+001	-6.028768e-001
3.376070992719706e-007	-7.999945e+000	1.322106e+001	-6.050911e-001
3.386248555350074e-007	-7.999945e+000	1.319553e+001	-6.062616e-001
3.410387793398526e-007	-7.999945e+000	1.313594e+001	-6.090118e-001
3.423140833389040e-007	-7.999944e+000	1.310505e+001	-6.104475e-001
3.455023433365326e-007	-7.999944e+000	1.302911e+001	-6.140052e-001
3.467776473355840e-007	-7.999944e+000	1.299950e+001	-6.154041e-001
3.493282553336869e-007	-7.999943e+000	1.294157e+001	-6.181588e-001
3.544294713298926e-007	-7.999942e+000	1.282925e+001	-6.235706e-001
3.557446285789144e-007	-7.999942e+000	1.280112e+001	-6.249406e-001
3.570677253425787e-007	-7.999942e+000	1.277348e+001	-6.262928e-001
3.610008597065965e-007	-7.999941e+000	1.269371e+001	-6.302287e-001
3.640183423010318e-007	-7.999941e+000	1.263516e+001	-6.331490e-001
3.666675253085980e-007	-7.999940e+000	1.258571e+001	-6.356366e-001
3.696017986760447e-007	-7.999940e+000	1.253311e+001	-6.383044e-001
3.707176896752147e-007	-7.999940e+000	1.251378e+001	-6.392907e-001
3.719929936742661e-007	-7.999939e+000	1.249220e+001	-6.403949e-001
3.754602264216872e-007	-7.999939e+000	1.243533e+001	-6.433233e-001
3.772192098973858e-007	-7.999939e+000	1.240790e+001	-6.447455e-001
3.790916802091645e-007	-7.999938e+000	1.237978e+001	-6.462101e-001
3.809647829577713e-007	-7.999938e+000	1.235264e+001	-6.476299e-001
3.828777389563484e-007	-7.999938e+000	1.232634e+001	-6.490116e-001
3.855080534543920e-007	-7.999938e+000	1.229158e+001	-6.508470e-001
3.862133859243264e-007	-7.999938e+000	1.228271e+001	-6.513168e-001
3.869415323366114e-007	-7.999937e+000	1.227375e+001	-6.517923e-001
3.875791843361371e-007	-7.999937e+000	1.226609e+001	-6.521994e-001
3.888544883351885e-007	-7.999937e+000	1.225130e+001	-6.529870e-001
3.916442158331136e-007	-7.999937e+000	1.222024e+001	-6.546467e-001
3.939332893107353e-007	-7.999936e+000	1.219707e+001	-6.558898e-001
3.965574916717018e-007	-7.999936e+000	1.217295e+001	-6.571896e-001
3.987264824228048e-007	-7.999935e+000	1.215504e+001	-6.581581e-001
3.994331770643691e-007	-7.999935e+000	1.214959e+001	-6.584529e-001
4.012703379415426e-007	-7.999935e+000	1.213642e+001	-6.591676e-001
4.028428811686978e-007	-7.999935e+000	1.212623e+001	-6.597214e-001
4.037776714496798e-007	-7.999935e+000	1.212069e+001	-6.600231e-001
4.050146923448091e-007	-7.999934e+000	1.211388e+001	-6.603938e-001
4.067342322862226e-007	-7.999934e+000	1.210552e+001	-6.608499e-001
4.079896096602889e-007	-7.999934e+000	1.210033e+001	-6.611338e-001
4.098975840026198e-007	-7.999934e+000	1.209356e+001	-6.615039e-001
4.118105400011969e-007	-7.999933e+000	1.208882e+001	-6.617631e-001
4.143611479992998e-007	-7.999933e+000	1.208448e+001	-6.620005e-001
4.165929299976397e-007	-7.999932e+000	1.208317e+001	-6.620721e-001
4.172305819971654e-007	-7.999932e+000	1.208333e+001	-6.620636e-001
4.185058859962169e-007	-7.999932e+000	1.208434e+001	-6.620082e-001
4.210564939943197e-007	-7.999932e+000	1.208922e+001	-6.617409e-001
4.265455394090813e-007	-7.999931e+000	1.210611e+001	-6.608179e-001
4.305006004795531e-007	-7.999930e+000	1.212811e+001	-6.596189e-001
4.324430316829959e-007	-7.999930e+000	1.214153e+001	-6.588898e-001
4.367129337931013e-007	-7.999929e+000	1.217689e+001	-6.569763e-001
4.406945359264235e-007	-7.999928e+000	1.221673e+001	-6.548337e-001
4.448153349731712e-007	-7.999928e+000	1.226437e+001	-6.522900e-001
4.449193165573747e-007	-7.999928e+000	1.226565e+001	-6.522219e-001
4.463934012285786e-007	-7.999928e+000	1.228420e+001	-6.512374e-001
4.502104104611523e-007	-7.999927e+000	1.233536e+001	-6.485359e-001
4.536346922343699e-007	-7.999927e+000	1.238465e+001	-6.459550e-001
4.564678438178950e-007	-7.999926e+000	1.242742e+001	-6.437319e-001
4.587424357083769e-007	-7.999926e+000	1.246280e+001	-6.419041e-001
4.601475133121142e-007	-7.999926e+000	1.248504e+001	-6.407610e-001
4.616008336835918e-007	-7.999925e+000	1.250829e+001	-6.395698e-001
4.631949636824060e-007	-7.999925e+000	1.253401e+001	-6.382577e-001
4.643058730253297e-007	-7.999925e+000	1.255204e+001	-6.373407e-001
4.652623510246183e-007	-7.999925e+000	1.256762e+001	-6.365507e-001
4.670956005232547e-007	-7.999924e+000	1.259755e+001	-6.350380e-001
4.680520785225433e-007	-7.999924e+000	1.261318e+001	-6.342512e-001
4.693273825215947e-007	-7.999924e+000	1.263396e+001	-6.332077e-001
4.718779905196976e-007	-7.999924e+000	1.267514e+001	-6.311505e-001
4.769792065159033e-007	-7.999923e+000	1.275464e+001	-6.272165e-001
4.871816385083148e-007	-7.999921e+000	1.290671e+001	-6.198264e-001
4.897322465064176e-007	-7.999921e+000	1.294183e+001	-6.181446e-001
